Nationality,Country
Swiss,Switzerland
Vietnamese,Vietnam
Achaemenid,Iraq
African,Africa
Albanian,Albania
Algerian,Algeria
American,United States
American,United States
Ancient Roman,Italian
Argentine,Argentina
Asante,Ashani
Asian,North Korea
Australian,Australia
Austrian,Austria
Bamana,Mali
Bamileke,Cameroon
Baulé,France
Belgian,Belgium
Beninese,Benin
Bohemian,Bohemia
Brazilian,Brazil
British,Briton
Burkinabe,Burkina Faso
Cameroonian,Cameroon
Canadian,Canada
Central African,Africa
Chilean,Chile
Chinese,China
Chola,South America
Colombian,Colombia
Congolese,Congo
Congolese (Republic of Congo),Congo
Coptic Egyptian,Egypt
Croatian,Croatia
Cuban,Cuba
Cycladic,Greece
Cypriot,Cyprus
Czech,Chech Republic
Czechoslovakian,Czechoslovakia
Danish,Dane
Dogon,Mali
Dutch,Germany
Eastern European,Europe
Ecuadorian,Ecuador
Egyptian,Egypt
Ejagham,Nigeria
English,England
Estonian,Estonia
Etruscan,Tuscany
European,Europe
Filipino,Phillippines
Finnish,Finland
Flemish,Dutch
French,France
French,France
Georgian,Georgia
German,Germany
Greco-Bactrian,Afghanistan
Greek,Greece
Greenlandic,Greenland
Guinean,Guinea
Hungarian,Hungry
Icelandic,Iceland
Indian,India
Indo-Persian,Indonesia
Iranian,Iran
Irish,Ireland
Israeli,Israel
Italian,Italy
Ivorian,France
Japanese,Japan
Javanese,Japan
Jordanian,Jordan
Khmer,Cambodia
Kissi,Guinea
Korean,Korea
Kuba (Congolese),Congo
Liberian,Libya
Lithuanian,Lithuania
Luxembourgeois,Luxembourg
Malagasy,Madagascar
Malian,Mali
Mesopotamian,Iraq
Mexican,Mexico
Montenegrin,Montenegro
Moroccan,Morocco
Mozambican,Mozambique
Native American,United States
Near Eastern,Egypt
Nepalese,Nepal
Netherlandish,Netherland
New Zealander,New Zealand
Nigerian,Nigeria
Northern European,Europe
Norwegian,Norway
NULL,
Pakistani,Pakistan
Panamanian,Panama
Pende,Congo
Persian,Persia
Peruvian,Peru
Polish,Poland
Portuguese,Portugal
Puerto Rican,Puerto rico
Romanian,Romania
Romano-Egyptian,Egpyt
Russian,Russia
Scandinavian,Denmark
Scottish,Scottland
Serbian,Slovakia
Sicilian,Italy
Sierra Leonean,Sierra Leone
Slovene,Slovenia
South African,Egpyt
South American,Bolivia
Spanish,Ecuador
Sudanese,Sudan
Sumerian,Iraq
Swabian,Germany
Swedish,Swedan
Swiss,Switzerland
Syrian,Sryia
Syro-Hittite,Turkey
Taiwanese,Taiwan
Thai,Thailand
Tibetan,Tibet
Turkish,Turkey
"Turkish, Asia Minor",Turkey
"Turkish, Brusa",Turkey
Ukrainian,Ukrane
undetermined,
Uruguayan,Uruguay
Venetian,Italy
Venezuelan,Venezuela
Yoruba,Nigeria
Yugoslavian,Yugoslavia
